Timepoint,GOID_BiologicalProcess,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
d1,GO:1905521,regulation of macrophage migration,15766,49/23062,0.000104779,0.001518095,0.000870562,ENSMUSG00000009281/ENSMUSG00000035385/ENSMUSG00000094686,3
d1,GO:2000404,regulation of T cell migration,15766,49/23062,0.000104779,0.001518095,0.000870562,ENSMUSG00000030793/ENSMUSG00000061353/ENSMUSG00000094686,3
d1,GO:0001776,leukocyte homeostasis,15797,132/23062,0.000106435,0.001530412,0.000877625,ENSMUSG00000025746/ENSMUSG00000028525/ENSMUSG00000029371/ENSMUSG00000035385,4
d1,GO:0014013,regulation of gliogenesis,15797,135/23062,0.000116095,0.001656751,0.000950075,ENSMUSG00000022346/ENSMUSG00000025746/ENSMUSG00000026728/ENSMUSG00000029648,4
d1,GO:0042742,defense response to bacterium,15858,418/23062,0.000118221,0.00166705,0.000955981,ENSMUSG00000000983/ENSMUSG00000009281/ENSMUSG00000026822/ENSMUSG00000029371/ENSMUSG00000030793/ENSMUSG00000032496,6
d1,GO:0001959,regulation of cytokine-mediated signaling pathway,15797,136/23062,0.000119451,0.00166705,0.000955981,ENSMUSG00000020227/ENSMUSG00000025746/ENSMUSG00000026072/ENSMUSG00000030793,4
d1,GO:0055076,transition metal ion homeostasis,15797,136/23062,0.000119451,0.00166705,0.000955981,ENSMUSG00000022346/ENSMUSG00000026822/ENSMUSG00000032496/ENSMUSG00000037434,4
d1,GO:0032609,interferon-gamma production,15797,137/23062,0.000122878,0.001702353,0.000976226,ENSMUSG00000026069/ENSMUSG00000026072/ENSMUSG00000028525/ENSMUSG00000030793,4
d1,GO:0010934,macrophage cytokine production,15766,52/23062,0.000125196,0.001721899,0.000987435,ENSMUSG00000007805/ENSMUSG00000020227/ENSMUSG00000030793,3
d1,GO:0034341,response to interferon-gamma,15797,138/23062,0.000126375,0.001725613,0.000989564,ENSMUSG00000026728/ENSMUSG00000035385/ENSMUSG00000057666/ENSMUSG00000094686,4
d1,GO:0002274,myeloid leukocyte activation,15827,267/23062,0.000134598,0.001824762,0.001046422,ENSMUSG00000026069/ENSMUSG00000030793/ENSMUSG00000034957/ENSMUSG00000035673/ENSMUSG00000071076,5
d1,GO:0048247,lymphocyte chemotaxis,15766,54/23062,0.00014015,0.001873268,0.001074239,ENSMUSG00000035385/ENSMUSG00000061353/ENSMUSG00000094686,3
d1,GO:1902622,regulation of neutrophil migration,15766,54/23062,0.00014015,0.001873268,0.001074239,ENSMUSG00000026072/ENSMUSG00000053475/ENSMUSG00000094686,3
d1,GO:0010712,regulation of collagen metabolic process,15766,55/23062,0.000148043,0.001962509,0.001125414,ENSMUSG00000025746/ENSMUSG00000026728/ENSMUSG00000035385,3
d1,GO:0050729,positive regulation of inflammatory response,15797,144/23062,0.000148894,0.001962509,0.001125414,ENSMUSG00000025746/ENSMUSG00000026069/ENSMUSG00000030793/ENSMUSG00000034957,4
d1,GO:0002692,negative regulation of cellular extravasation,15738,10/23062,0.000151369,0.001981365,0.001136227,ENSMUSG00000061353/ENSMUSG00000094686,2
d1,GO:0031346,positive regulation of cell projection organization,15858,440/23062,0.000156297,0.002018035,0.001157256,ENSMUSG00000000861/ENSMUSG00000025746/ENSMUSG00000026822/ENSMUSG00000029371/ENSMUSG00000061353/ENSMUSG00000094686,6
d1,GO:0050678,regulation of epithelial cell proliferation,15858,440/23062,0.000156297,0.002018035,0.001157256,ENSMUSG00000007805/ENSMUSG00000022346/ENSMUSG00000025746/ENSMUSG00000029648/ENSMUSG00000035385/ENSMUSG00000061353,6
d1,GO:0030099,myeloid cell differentiation,15858,442/23062,0.00016019,0.002052257,0.001176881,ENSMUSG00000007805/ENSMUSG00000022346/ENSMUSG00000034957/ENSMUSG00000035673/ENSMUSG00000053475/ENSMUSG00000066687,6
d1,GO:0060759,regulation of response to cytokine stimulus,15797,147/23062,0.000161181,0.002052257,0.001176881,ENSMUSG00000020227/ENSMUSG00000025746/ENSMUSG00000026072/ENSMUSG00000030793,4
d1,GO:0052547,regulation of peptidase activity,15858,444/23062,0.00016416,0.002052257,0.001176881,ENSMUSG00000000983/ENSMUSG00000022346/ENSMUSG00000025746/ENSMUSG00000030793/ENSMUSG00000032496/ENSMUSG00000057666,6
d1,GO:0032964,collagen biosynthetic process,15766,57/23062,0.000164685,0.002052257,0.001176881,ENSMUSG00000025746/ENSMUSG00000026728/ENSMUSG00000035385,3
d1,GO:0043030,regulation of macrophage activation,15766,57/23062,0.000164685,0.002052257,0.001176881,ENSMUSG00000026069/ENSMUSG00000034957/ENSMUSG00000071076,3
d1,GO:0071887,leukocyte apoptotic process,15797,148/23062,0.000165435,0.002052257,0.001176881,ENSMUSG00000022346/ENSMUSG00000025746/ENSMUSG00000061353/ENSMUSG00000094686,4
d1,GO:0006816,calcium ion transport,15858,449/23062,0.000174427,0.002149762,0.001232796,ENSMUSG00000011008/ENSMUSG00000028525/ENSMUSG00000035385/ENSMUSG00000037434/ENSMUSG00000061353/ENSMUSG00000094686,6
d1,GO:0050921,positive regulation of chemotaxis,15797,151/23062,0.000178684,0.00218801,0.001254729,ENSMUSG00000009281/ENSMUSG00000035385/ENSMUSG00000061353/ENSMUSG00000094686,4
d1,GO:0070509,calcium ion import,15766,59/23062,0.000182497,0.002220377,0.00127329,ENSMUSG00000035385/ENSMUSG00000037434/ENSMUSG00000061353,3
d1,GO:0031099,regeneration,15797,153/23062,0.000187931,0.002271936,0.001302857,ENSMUSG00000025746/ENSMUSG00000028364/ENSMUSG00000029371/ENSMUSG00000061353,4
d1,GO:0050922,negative regulation of chemotaxis,15766,60/23062,0.000191853,0.00230466,0.001321623,ENSMUSG00000024190/ENSMUSG00000035385/ENSMUSG00000053475,3
d1,GO:0010959,regulation of metal ion transport,15858,458/23062,0.000194187,0.002318033,0.001329292,ENSMUSG00000026822/ENSMUSG00000028525/ENSMUSG00000029380/ENSMUSG00000035385/ENSMUSG00000037434/ENSMUSG00000061353,6
d1,GO:0050767,regulation of neurogenesis,15858,462/23062,0.000203519,0.002414245,0.001384466,ENSMUSG00000000861/ENSMUSG00000022346/ENSMUSG00000025746/ENSMUSG00000026728/ENSMUSG00000029648/ENSMUSG00000061353,6
d1,GO:0002703,regulation of leukocyte mediated immunity,15827,295/23062,0.000214023,0.002523077,0.001446876,ENSMUSG00000025746/ENSMUSG00000026072/ENSMUSG00000029371/ENSMUSG00000029380/ENSMUSG00000035385,5
d1,GO:0002579,positive regulation of antigen processing and presentation,15738,12/23062,0.000221482,0.002594894,0.00148806,ENSMUSG00000030793/ENSMUSG00000094686,2
d1,GO:0097048,dendritic cell apoptotic process,15738,13/23062,0.000261442,0.003025708,0.001735113,ENSMUSG00000061353/ENSMUSG00000094686,2
d1,GO:2000668,regulation of dendritic cell apoptotic process,15738,13/23062,0.000261442,0.003025708,0.001735113,ENSMUSG00000061353/ENSMUSG00000094686,2
d1,GO:0043903,regulation of biological process involved in symbiotic interaction,15766,67/23062,0.000266148,0.003043068,0.001745068,ENSMUSG00000029371/ENSMUSG00000029380/ENSMUSG00000032496,3
d1,GO:0061082,myeloid leukocyte cytokine production,15766,67/23062,0.000266148,0.003043068,0.001745068,ENSMUSG00000007805/ENSMUSG00000020227/ENSMUSG00000030793,3
d1,GO:0002699,positive regulation of immune effector process,15827,313/23062,0.000281318,0.003197257,0.001833489,ENSMUSG00000025746/ENSMUSG00000026072/ENSMUSG00000029380/ENSMUSG00000030793/ENSMUSG00000035385,5
d1,GO:0008347,glial cell migration,15766,70/23062,0.00030294,0.003401373,0.001950541,ENSMUSG00000026043/ENSMUSG00000026728/ENSMUSG00000035385,3
d1,GO:0045600,positive regulation of fat cell differentiation,15766,70/23062,0.00030294,0.003401373,0.001950541,ENSMUSG00000009281/ENSMUSG00000034957/ENSMUSG00000066687,3
d1,GO:0010936,negative regulation of macrophage cytokine production,15738,14/23062,0.000304654,0.003401373,0.001950541,ENSMUSG00000007805/ENSMUSG00000020227,2
d1,GO:0009266,response to temperature stimulus,15797,174/23062,0.000307051,0.003408091,0.001954393,ENSMUSG00000026072/ENSMUSG00000028525/ENSMUSG00000035385/ENSMUSG00000061353,4
d1,GO:0051896,regulation of protein kinase B signaling,15797,175/23062,0.00031381,0.00346286,0.001985801,ENSMUSG00000025746/ENSMUSG00000043613/ENSMUSG00000061353/ENSMUSG00000094686,4
d1,GO:0002705,positive regulation of leukocyte mediated immunity,15797,178/23062,0.000334728,0.003672333,0.002105925,ENSMUSG00000025746/ENSMUSG00000026072/ENSMUSG00000029380/ENSMUSG00000035385,4
d1,GO:0019732,antifungal humoral response,15738,15/23062,0.000351108,0.003786379,0.002171325,ENSMUSG00000009281/ENSMUSG00000032496,2
d1,GO:0050930,induction of positive chemotaxis,15738,15/23062,0.000351108,0.003786379,0.002171325,ENSMUSG00000061353/ENSMUSG00000094686,2
d1,GO:0070943,neutrophil-mediated killing of symbiont cell,15738,15/23062,0.000351108,0.003786379,0.002171325,ENSMUSG00000029371/ENSMUSG00000029380,2
d1,GO:0048754,branching morphogenesis of an epithelial tube,15797,191/23062,0.00043706,0.004686666,0.002687601,ENSMUSG00000022346/ENSMUSG00000028364/ENSMUSG00000029648/ENSMUSG00000061353,4
d1,GO:0071900,regulation of protein serine/threonine kinase activity,15827,346/23062,0.00044517,0.004726526,0.002710459,ENSMUSG00000020227/ENSMUSG00000024190/ENSMUSG00000029648/ENSMUSG00000030793/ENSMUSG00000032496,5
d1,GO:0043122,regulation of I-kappaB kinase/NF-kappaB signaling,15797,192/23062,0.000445758,0.004726526,0.002710459,ENSMUSG00000030793/ENSMUSG00000032496/ENSMUSG00000057666/ENSMUSG00000094686,4
d1,GO:0070942,neutrophil mediated cytotoxicity,15738,17/23062,0.000453693,0.004757505,0.002728224,ENSMUSG00000029371/ENSMUSG00000029380,2
d1,GO:1902033,regulation of hematopoietic stem cell proliferation,15738,17/23062,0.000453693,0.004757505,0.002728224,ENSMUSG00000029380/ENSMUSG00000034957,2
d1,GO:0070102,interleukin-6-mediated signaling pathway,15738,18/23062,0.0005098,0.005316487,0.003048776,ENSMUSG00000025746/ENSMUSG00000034957,2
d1,GO:0002720,positive regulation of cytokine production involved in immune response,15766,84/23062,0.000517831,0.005370728,0.003079881,ENSMUSG00000025746/ENSMUSG00000026072/ENSMUSG00000030793,3
d1,GO:0052548,regulation of endopeptidase activity,15827,360/23062,0.0005331,0.005479293,0.003142138,ENSMUSG00000022346/ENSMUSG00000025746/ENSMUSG00000030793/ENSMUSG00000032496/ENSMUSG00000057666,5
d1,GO:0032729,positive regulation of interferon-gamma production,15766,85/23062,0.000536081,0.005479293,0.003142138,ENSMUSG00000026072/ENSMUSG00000028525/ENSMUSG00000030793,3
d1,GO:0006469,negative regulation of protein kinase activity,15797,202/23062,0.000539665,0.005479293,0.003142138,ENSMUSG00000020227/ENSMUSG00000024190/ENSMUSG00000025746/ENSMUSG00000030793,4
d1,GO:0045861,negative regulation of proteolysis,15827,361/23062,0.000539846,0.005479293,0.003142138,ENSMUSG00000000983/ENSMUSG00000025746/ENSMUSG00000032496/ENSMUSG00000044258/ENSMUSG00000057666,5
d1,GO:0045837,negative regulation of membrane potential,15738,19/23062,0.000569103,0.005697864,0.003267479,ENSMUSG00000025746/ENSMUSG00000032496,2
d1,GO:0048245,eosinophil chemotaxis,15738,19/23062,0.000569103,0.005697864,0.003267479,ENSMUSG00000035385/ENSMUSG00000094686,2
d1,GO:0002262,myeloid cell homeostasis,15797,205/23062,0.000570387,0.005697864,0.003267479,ENSMUSG00000005686/ENSMUSG00000025746/ENSMUSG00000028525/ENSMUSG00000035385,4
d1,GO:0002831,regulation of response to biotic stimulus,15827,369/23062,0.000596159,0.00592414,0.003397238,ENSMUSG00000020227/ENSMUSG00000029371/ENSMUSG00000029380/ENSMUSG00000030793/ENSMUSG00000032496,5
d1,GO:0048872,homeostasis of number of cells,15827,371/23062,0.000610904,0.006039036,0.003463126,ENSMUSG00000005686/ENSMUSG00000025746/ENSMUSG00000028525/ENSMUSG00000029371/ENSMUSG00000035385,5
d1,GO:0055072,iron ion homeostasis,15766,92/23062,0.000675439,0.006642398,0.003809129,ENSMUSG00000022346/ENSMUSG00000026822/ENSMUSG00000032496,3
d1,GO:0002577,regulation of antigen processing and presentation,15738,21/23062,0.000697245,0.006751897,0.003871921,ENSMUSG00000030793/ENSMUSG00000094686,2
d1,GO:0071676,negative regulation of mononuclear cell migration,15738,21/23062,0.000697245,0.006751897,0.003871921,ENSMUSG00000024190/ENSMUSG00000035385,2
d1,GO:0090280,positive regulation of calcium ion import,15738,21/23062,0.000697245,0.006751897,0.003871921,ENSMUSG00000035385/ENSMUSG00000061353,2
d1,GO:0002693,positive regulation of cellular extravasation,15738,22/23062,0.000766063,0.007306469,0.004189944,ENSMUSG00000026072/ENSMUSG00000035385,2
d1,GO:0090026,positive regulation of monocyte chemotaxis,15738,22/23062,0.000766063,0.007306469,0.004189944,ENSMUSG00000035385/ENSMUSG00000061353,2
d1,GO:0097398,cellular response to interleukin-17,15738,22/23062,0.000766063,0.007306469,0.004189944,ENSMUSG00000025746/ENSMUSG00000029380,2
d1,GO:0045637,regulation of myeloid cell differentiation,15797,224/23062,0.000794542,0.007540208,0.004323984,ENSMUSG00000007805/ENSMUSG00000022346/ENSMUSG00000053475/ENSMUSG00000066687,4
d1,GO:0033673,negative regulation of kinase activity,15797,226/23062,0.000821283,0.007721257,0.004427808,ENSMUSG00000020227/ENSMUSG00000024190/ENSMUSG00000025746/ENSMUSG00000030793,4
d1,GO:0051251,positive regulation of lymphocyte activation,15827,397/23062,0.000828592,0.007721257,0.004427808,ENSMUSG00000025746/ENSMUSG00000030793/ENSMUSG00000035385/ENSMUSG00000066687/ENSMUSG00000094686,5
d1,GO:0060562,epithelial tube morphogenesis,15827,397/23062,0.000828592,0.007721257,0.004427808,ENSMUSG00000022346/ENSMUSG00000026822/ENSMUSG00000028364/ENSMUSG00000029648/ENSMUSG00000061353,5
d1,GO:0010818,T cell chemotaxis,15738,23/23062,0.000838029,0.007721257,0.004427808,ENSMUSG00000061353/ENSMUSG00000094686,2
d1,GO:0072677,eosinophil migration,15738,23/23062,0.000838029,0.007721257,0.004427808,ENSMUSG00000035385/ENSMUSG00000094686,2
d1,GO:1901623,regulation of lymphocyte chemotaxis,15738,23/23062,0.000838029,0.007721257,0.004427808,ENSMUSG00000035385/ENSMUSG00000094686,2
d1,GO:0046031,ADP metabolic process,15766,100/23062,0.000860746,0.007892251,0.004525865,ENSMUSG00000005686/ENSMUSG00000022346/ENSMUSG00000057666,3
d1,GO:0009408,response to heat,15766,102/23062,0.000911613,0.008318468,0.004770282,ENSMUSG00000026072/ENSMUSG00000028525/ENSMUSG00000035385,3
d1,GO:0002819,regulation of adaptive immune response,15797,233/23062,0.000919894,0.008353868,0.004790583,ENSMUSG00000025746/ENSMUSG00000026069/ENSMUSG00000026072/ENSMUSG00000030793,4
d1,GO:0009135,purine nucleoside diphosphate metabolic process,15766,104/23062,0.000964351,0.008674585,0.0049745,ENSMUSG00000005686/ENSMUSG00000022346/ENSMUSG00000057666,3
d1,GO:0009179,purine ribonucleoside diphosphate metabolic process,15766,104/23062,0.000964351,0.008674585,0.0049745,ENSMUSG00000005686/ENSMUSG00000022346/ENSMUSG00000057666,3
d1,GO:0042098,T cell proliferation,15797,237/23062,0.000979847,0.008772407,0.005030597,ENSMUSG00000022346/ENSMUSG00000025746/ENSMUSG00000030793/ENSMUSG00000061353,4
d1,GO:0097396,response to interleukin-17,15738,25/23062,0.000991362,0.008833825,0.005065817,ENSMUSG00000025746/ENSMUSG00000029380,2
d1,GO:0002440,production of molecular mediator of immune response,15827,417/23062,0.001032014,0.009153097,0.005248906,ENSMUSG00000007805/ENSMUSG00000020227/ENSMUSG00000025746/ENSMUSG00000026072/ENSMUSG00000030793,5
d1,GO:0071901,negative regulation of protein serine/threonine kinase activity,15766,107/23062,0.001047023,0.009243025,0.005300476,ENSMUSG00000020227/ENSMUSG00000024190/ENSMUSG00000030793,3
d1,GO:2000116,regulation of cysteine-type endopeptidase activity,15797,242/23062,0.0010586,0.009296783,0.005331304,ENSMUSG00000022346/ENSMUSG00000025746/ENSMUSG00000030793/ENSMUSG00000032496,4
d1,GO:0002726,positive regulation of T cell cytokine production,15738,26/23062,0.001072706,0.009296783,0.005331304,ENSMUSG00000025746/ENSMUSG00000026072,2
d1,GO:0035743,"CD4-positive, alpha-beta T cell cytokine production",15738,26/23062,0.001072706,0.009296783,0.005331304,ENSMUSG00000025746/ENSMUSG00000026072,2
d1,GO:0050927,positive regulation of positive chemotaxis,15738,26/23062,0.001072706,0.009296783,0.005331304,ENSMUSG00000061353/ENSMUSG00000094686,2
d1,GO:0000041,transition metal ion transport,15766,109/23062,0.001104554,0.009416458,0.005399932,ENSMUSG00000026822/ENSMUSG00000032496/ENSMUSG00000037434,3
d1,GO:0046916,cellular transition metal ion homeostasis,15766,109/23062,0.001104554,0.009416458,0.005399932,ENSMUSG00000022346/ENSMUSG00000026822/ENSMUSG00000037434,3
d1,GO:0048661,positive regulation of smooth muscle cell proliferation,15766,109/23062,0.001104554,0.009416458,0.005399932,ENSMUSG00000022346/ENSMUSG00000025746/ENSMUSG00000029648,3
d1,GO:0002573,myeloid leukocyte differentiation,15797,245/23062,0.001107933,0.009416458,0.005399932,ENSMUSG00000022346/ENSMUSG00000034957/ENSMUSG00000035673/ENSMUSG00000053475,4
d1,GO:0006875,cellular metal ion homeostasis,15827,424/23062,0.001111321,0.009416458,0.005399932,ENSMUSG00000022346/ENSMUSG00000026822/ENSMUSG00000035385/ENSMUSG00000037434/ENSMUSG00000094686,5
d1,GO:0032760,positive regulation of tumor necrosis factor production,15766,110/23062,0.001134054,0.009566378,0.005485905,ENSMUSG00000025746/ENSMUSG00000030793/ENSMUSG00000035385,3
d1,GO:0050926,regulation of positive chemotaxis,15738,27/23062,0.001157153,0.009675225,0.005548324,ENSMUSG00000061353/ENSMUSG00000094686,2
d1,GO:1904996,positive regulation of leukocyte adhesion to vascular endothelial cell,15738,27/23062,0.001157153,0.009675225,0.005548324,ENSMUSG00000025746/ENSMUSG00000026582,2
d1,GO:1903557,positive regulation of tumor necrosis factor superfamily cytokine production,15766,112/23062,0.001194539,0.009944015,0.005702463,ENSMUSG00000025746/ENSMUSG00000030793/ENSMUSG00000035385,3
d1,GO:0009314,response to radiation,15827,432/23062,0.001207414,0.010007302,0.005738756,ENSMUSG00000022346/ENSMUSG00000022400/ENSMUSG00000026043/ENSMUSG00000026072/ENSMUSG00000043613,5
d1,GO:1902106,negative regulation of leukocyte differentiation,15766,113/23062,0.00122553,0.010113291,0.005799535,ENSMUSG00000022346/ENSMUSG00000029810/ENSMUSG00000053475,3
d1,GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,15766,114/23062,0.001257025,0.010328285,0.005922825,ENSMUSG00000022346/ENSMUSG00000030793/ENSMUSG00000061353,3
d1,GO:0009185,ribonucleoside diphosphate metabolic process,15766,116/23062,0.001321537,0.010811542,0.006199952,ENSMUSG00000005686/ENSMUSG00000022346/ENSMUSG00000057666,3
d1,GO:0044403,biological process involved in symbiotic interaction,15797,259/23062,0.001359701,0.011076023,0.006351621,ENSMUSG00000029371/ENSMUSG00000029380/ENSMUSG00000032496/ENSMUSG00000057666,4
d1,GO:0048705,skeletal system morphogenesis,15797,260/23062,0.001379089,0.011185947,0.006414658,ENSMUSG00000007805/ENSMUSG00000022346/ENSMUSG00000026043/ENSMUSG00000032496,4
d1,GO:0051897,positive regulation of protein kinase B signaling,15766,118/23062,0.0013881,0.011211123,0.006429095,ENSMUSG00000025746/ENSMUSG00000061353/ENSMUSG00000094686,3
d1,GO:0010466,negative regulation of peptidase activity,15797,261/23062,0.00139867,0.011248626,0.006450602,ENSMUSG00000000983/ENSMUSG00000025746/ENSMUSG00000032496/ENSMUSG00000057666,4
d1,GO:2000106,regulation of leukocyte apoptotic process,15766,119/23062,0.001422158,0.011348295,0.006507757,ENSMUSG00000022346/ENSMUSG00000061353/ENSMUSG00000094686,3
d1,GO:0001780,neutrophil homeostasis,15738,30/23062,0.001429,0.011348295,0.006507757,ENSMUSG00000025746/ENSMUSG00000028525,2
d1,GO:1905562,regulation of vascular endothelial cell proliferation,15738,30/23062,0.001429,0.011348295,0.006507757,ENSMUSG00000029648/ENSMUSG00000035385,2
d1,GO:0051348,negative regulation of transferase activity,15797,263/23062,0.001438414,0.011375457,0.006523334,ENSMUSG00000020227/ENSMUSG00000024190/ENSMUSG00000025746/ENSMUSG00000030793,4
d1,GO:0001910,regulation of leukocyte mediated cytotoxicity,15766,121/23062,0.001491843,0.011749035,0.006737564,ENSMUSG00000029371/ENSMUSG00000029380/ENSMUSG00000035385,3
d1,GO:0032967,positive regulation of collagen biosynthetic process,15738,31/23062,0.001525747,0.011868313,0.006805965,ENSMUSG00000026728/ENSMUSG00000035385,2
d1,GO:0043552,positive regulation of phosphatidylinositol 3-kinase activity,15738,31/23062,0.001525747,0.011868313,0.006805965,ENSMUSG00000029648/ENSMUSG00000094686,2
d1,GO:0101023,vascular endothelial cell proliferation,15738,31/23062,0.001525747,0.011868313,0.006805965,ENSMUSG00000029648/ENSMUSG00000035385,2
d1,GO:0002764,immune response-regulating signaling pathway,15827,459/23062,0.001577691,0.012222277,0.007008948,ENSMUSG00000020227/ENSMUSG00000028525/ENSMUSG00000029550/ENSMUSG00000030793/ENSMUSG00000032496,5
d1,GO:0051091,positive regulation of DNA-binding transcription factor activity,15797,271/23062,0.001605306,0.012385656,0.007102639,ENSMUSG00000020227/ENSMUSG00000025746/ENSMUSG00000030793/ENSMUSG00000032496,4
d1,GO:0002825,regulation of T-helper 1 type immune response,15738,32/23062,0.001625541,0.012491001,0.00716305,ENSMUSG00000026069/ENSMUSG00000026072,2
d1,GO:0043123,positive regulation of I-kappaB kinase/NF-kappaB signaling,15766,128/23062,0.001752516,0.013412403,0.007691434,ENSMUSG00000032496/ENSMUSG00000057666/ENSMUSG00000094686,3
d1,GO:0010714,positive regulation of collagen metabolic process,15738,34/23062,0.001834225,0.013925439,0.007985638,ENSMUSG00000026728/ENSMUSG00000035385,2
d1,GO:0010863,positive regulation of phospholipase C activity,15738,34/23062,0.001834225,0.013925439,0.007985638,ENSMUSG00000026582/ENSMUSG00000029648,2
d1,GO:0016485,protein processing,15797,283/23062,0.001880299,0.014218353,0.008153612,ENSMUSG00000022346/ENSMUSG00000029550/ENSMUSG00000030793/ENSMUSG00000044258,4
d1,GO:0090218,positive regulation of lipid kinase activity,15738,35/23062,0.001943093,0.014634884,0.008392474,ENSMUSG00000029648/ENSMUSG00000094686,2
d1,GO:0009132,nucleoside diphosphate metabolic process,15766,133/23062,0.001955093,0.014667059,0.008410925,ENSMUSG00000005686/ENSMUSG00000022346/ENSMUSG00000057666,3
d1,GO:0002719,negative regulation of cytokine production involved in immune response,15738,36/23062,0.002054964,0.015355594,0.00880577,ENSMUSG00000007805/ENSMUSG00000020227,2
d1,GO:0090022,regulation of neutrophil chemotaxis,15738,37/23062,0.002169825,0.016150307,0.009261504,ENSMUSG00000053475/ENSMUSG00000094686,2
d1,GO:0051924,regulation of calcium ion transport,15797,296/23062,0.002213416,0.016410406,0.009410659,ENSMUSG00000028525/ENSMUSG00000035385/ENSMUSG00000037434/ENSMUSG00000061353,4
d1,GO:0030003,cellular cation homeostasis,15827,497/23062,0.002232815,0.016483312,0.009452468,ENSMUSG00000022346/ENSMUSG00000026822/ENSMUSG00000035385/ENSMUSG00000037434/ENSMUSG00000094686,5
d1,GO:0071695,anatomical structure maturation,15797,297/23062,0.002240619,0.016483312,0.009452468,ENSMUSG00000000861/ENSMUSG00000034957/ENSMUSG00000066687/ENSMUSG00000094686,4
d1,GO:0002724,regulation of T cell cytokine production,15738,38/23062,0.002287667,0.016699972,0.009576713,ENSMUSG00000025746/ENSMUSG00000026072,2
d1,GO:1900274,regulation of phospholipase C activity,15738,38/23062,0.002287667,0.016699972,0.009576713,ENSMUSG00000026582/ENSMUSG00000029648,2
d1,GO:0002702,positive regulation of production of molecular mediator of immune response,15766,142/23062,0.002355346,0.017062776,0.009784766,ENSMUSG00000025746/ENSMUSG00000026072/ENSMUSG00000030793,3
d1,GO:0031341,regulation of cell killing,15766,142/23062,0.002355346,0.017062776,0.009784766,ENSMUSG00000029371/ENSMUSG00000029380/ENSMUSG00000035385,3
d1,GO:0002446,neutrophil mediated immunity,15738,40/23062,0.002532249,0.018205335,0.010439974,ENSMUSG00000029371/ENSMUSG00000029380,2
d1,GO:0071425,hematopoietic stem cell proliferation,15738,40/23062,0.002532249,0.018205335,0.010439974,ENSMUSG00000029380/ENSMUSG00000034957,2
d1,GO:0032733,positive regulation of interleukin-10 production,15738,41/23062,0.002658966,0.01904422,0.010921038,ENSMUSG00000025746/ENSMUSG00000030793,2
d1,GO:0007162,negative regulation of cell adhesion,15797,313/23062,0.002707889,0.019321708,0.011080165,ENSMUSG00000024190/ENSMUSG00000028364/ENSMUSG00000061353/ENSMUSG00000094686,4
d1,GO:0019233,sensory perception of pain,15766,150/23062,0.002750875,0.019481941,0.011172052,ENSMUSG00000035385/ENSMUSG00000045573/ENSMUSG00000061353,3
d1,GO:0045598,regulation of fat cell differentiation,15766,150/23062,0.002750875,0.019481941,0.011172052,ENSMUSG00000009281/ENSMUSG00000034957/ENSMUSG00000066687,3
d1,GO:0043551,regulation of phosphatidylinositol 3-kinase activity,15738,42/23062,0.002788621,0.01960297,0.011241457,ENSMUSG00000029648/ENSMUSG00000094686,2
d1,GO:1902624,positive regulation of neutrophil migration,15738,42/23062,0.002788621,0.01960297,0.011241457,ENSMUSG00000026072/ENSMUSG00000094686,2
d1,GO:0002821,positive regulation of adaptive immune response,15766,155/23062,0.003017669,0.020979986,0.012031116,ENSMUSG00000025746/ENSMUSG00000026072/ENSMUSG00000030793,3
d1,GO:0050830,defense response to Gram-positive bacterium,15766,155/23062,0.003017669,0.020979986,0.012031116,ENSMUSG00000009281/ENSMUSG00000030793/ENSMUSG00000032496,3
d1,GO:0051092,positive regulation of NF-kappaB transcription factor activity,15766,155/23062,0.003017669,0.020979986,0.012031116,ENSMUSG00000020227/ENSMUSG00000030793/ENSMUSG00000032496,3
d1,GO:0030217,T cell differentiation,15797,323/23062,0.00303171,0.021000676,0.012042981,ENSMUSG00000000861/ENSMUSG00000025746/ENSMUSG00000044258/ENSMUSG00000066687,4
d1,GO:0050918,positive chemotaxis,15738,44/23062,0.003056695,0.021096754,0.012098078,ENSMUSG00000061353/ENSMUSG00000094686,2
d1,GO:0001569,branching involved in blood vessel morphogenesis,15738,45/23062,0.003195094,0.021972059,0.012600027,ENSMUSG00000029648/ENSMUSG00000061353,2
d1,GO:0001909,leukocyte mediated cytotoxicity,15766,161/23062,0.003358206,0.023010379,0.013195459,ENSMUSG00000029371/ENSMUSG00000029380/ENSMUSG00000035385,3
d1,GO:2000377,regulation of reactive oxygen species metabolic process,15766,162/23062,0.003417156,0.023330077,0.013378792,ENSMUSG00000026822/ENSMUSG00000029380/ENSMUSG00000043613,3
d1,GO:0050974,detection of mechanical stimulus involved in sensory perception,15738,47/23062,0.003480561,0.023677794,0.013578192,ENSMUSG00000022346/ENSMUSG00000061353,2
d1,GO:0048010,vascular endothelial growth factor receptor signaling pathway,15738,48/23062,0.003627607,0.024589995,0.0141013,ENSMUSG00000029648/ENSMUSG00000035385,2
d1,GO:0062197,cellular response to chemical stress,15797,341/23062,0.003679797,0.024855002,0.01425327,ENSMUSG00000025746/ENSMUSG00000026822/ENSMUSG00000030793/ENSMUSG00000043613,4
