"","Mouse","Age","Group","Sex","Day","TEWL","Condition","Redness","Thickness","Scabbiness","Cohort","Organism","Dose","complete_score"
"735",5,"7w","B_sub","M",1,78.4,"Recovery",NA,NA,NA,6,"B_subtilis",1000000000,NA
"736",6,"7w","B_sub","M",1,73.5,"Recovery",NA,NA,NA,6,"B_subtilis",1000000000,NA
"737",1,"7w","E _coli","M",1,80.9,"Recovery",NA,NA,NA,6,"E_coli",1000000000,NA
"738",2,"7w","E _coli","M",1,73.3,"Recovery",NA,NA,NA,6,"E_coli",1000000000,NA
"739",3,"7w","E _coli","M",1,66.6,"Recovery",NA,NA,NA,6,"E_coli",1000000000,NA
"740",4,"7w","E _coli","M",1,71.8,"Recovery",NA,NA,NA,6,"E_coli",1000000000,NA
"741",5,"7w","E _coli","M",1,69.3,"Recovery",NA,NA,NA,6,"E_coli",1000000000,NA
"742",6,"7w","E _coli","M",1,84.2,"Recovery",NA,NA,NA,6,"E_coli",1000000000,NA
"743",1,"7w","PBS","M",2,56.7,"Recovery",0,2,0,6,"PBS",0,2
"744",2,"7w","PBS","M",2,65.7,"Recovery",0,2,0,6,"PBS",0,2
"745",3,"7w","PBS","M",2,39.8,"Recovery",0,1,0,6,"PBS",0,1
"746",4,"7w","PBS","M",2,22.5,"Recovery",0,2,0,6,"PBS",0,2
"747",5,"7w","PBS","M",2,71,"Recovery",0,2,0,6,"PBS",0,2
"748",1,"7w","B_sub","M",2,25,"Recovery",0,1,0,6,"B_subtilis",1000000000,1
"749",2,"7w","B_sub","M",2,57.7,"Recovery",0,1,0,6,"B_subtilis",1000000000,1
"750",3,"7w","B_sub","M",2,73.9,"Recovery",0,2,1,6,"B_subtilis",1000000000,3
"751",4,"7w","B_sub","M",2,70,"Recovery",1,2,0,6,"B_subtilis",1000000000,3
"752",5,"7w","B_sub","M",2,78.4,"Recovery",0,2,0,6,"B_subtilis",1000000000,2
"753",6,"7w","B_sub","M",2,70.2,"Recovery",0,2,0,6,"B_subtilis",1000000000,2
"754",1,"7w","E _coli","M",2,69.6,"Recovery",0,2,0,6,"E_coli",1000000000,2
"755",2,"7w","E _coli","M",2,55.9,"Recovery",0,2,0,6,"E_coli",1000000000,2
"756",3,"7w","E _coli","M",2,52.4,"Recovery",0,2,0,6,"E_coli",1000000000,2
"757",4,"7w","E _coli","M",2,70.7,"Recovery",0,2,0,6,"E_coli",1000000000,2
"758",5,"7w","E _coli","M",2,74.5,"Recovery",0,2,0,6,"E_coli",1000000000,2
"759",6,"7w","E _coli","M",2,77.1,"Recovery",0,2,0,6,"E_coli",1000000000,2
"760",1,"7w","PBS","M",3,32,"Recovery",1,1,1,6,"PBS",0,3
"761",2,"7w","PBS","M",3,39.9,"Recovery",0,2,1,6,"PBS",0,3
"762",3,"7w","PBS","M",3,22.1,"Recovery",0,1,0,6,"PBS",0,1
"763",4,"7w","PBS","M",3,27.9,"Recovery",0,2,1,6,"PBS",0,3
"764",5,"7w","PBS","M",3,50.7,"Recovery",0,2,1,6,"PBS",0,3
"765",1,"7w","B_sub","M",3,20.4,"Recovery",0,1,0,6,"B_subtilis",1000000000,1
"766",2,"7w","B_sub","M",3,38,"Recovery",0,2,1,6,"B_subtilis",1000000000,3
"767",3,"7w","B_sub","M",3,18.7,"Recovery",0,1,1,6,"B_subtilis",1000000000,2
"768",4,"7w","B_sub","M",3,41.9,"Recovery",0,1,1,6,"B_subtilis",1000000000,2
"769",5,"7w","B_sub","M",3,43.6,"Recovery",0,2,2,6,"B_subtilis",1000000000,4
"770",6,"7w","B_sub","M",3,46.9,"Recovery",0,2,1,6,"B_subtilis",1000000000,3
"771",1,"7w","E _coli","M",3,61,"Recovery",0,2,0,6,"E_coli",1000000000,2
"772",2,"7w","E _coli","M",3,34.2,"Recovery",0,2,0,6,"E_coli",1000000000,2
"773",3,"7w","E _coli","M",3,17.8,"Recovery",0,1,1,6,"E_coli",1000000000,2
"774",4,"7w","E _coli","M",3,18.2,"Recovery",0,1,0,6,"E_coli",1000000000,1
"775",5,"7w","E _coli","M",3,35.7,"Recovery",0,2,1,6,"E_coli",1000000000,3
"776",6,"7w","E _coli","M",3,52.5,"Recovery",0,2,0,6,"E_coli",1000000000,2
"777",1,"7w","PBS","M",4,20.1,"Recovery",0,1,1,6,"PBS",0,2
"778",2,"7w","PBS","M",4,43,"Recovery",0,1,1,6,"PBS",0,2
"779",3,"7w","PBS","M",4,16.7,"Recovery",0,1,1,6,"PBS",0,2
"780",4,"7w","PBS","M",4,8.2,"Recovery",0,1,1,6,"PBS",0,2
"781",5,"7w","PBS","M",4,37.7,"Recovery",0,1,1,6,"PBS",0,2
"782",1,"7w","B_sub","M",4,13,"Recovery",0,0,1,6,"B_subtilis",1000000000,1
"783",2,"7w","B_sub","M",4,40.3,"Recovery",1,1,1,6,"B_subtilis",1000000000,3
"784",3,"7w","B_sub","M",4,40,"Recovery",0,1,1,6,"B_subtilis",1000000000,2
"785",4,"7w","B_sub","M",4,37.7,"Recovery",0,2,1,6,"B_subtilis",1000000000,3
"786",5,"7w","B_sub","M",4,53.9,"Recovery",1,2,1,6,"B_subtilis",1000000000,4
"787",6,"7w","B_sub","M",4,35.9,"Recovery",0,2,1,6,"B_subtilis",1000000000,3
"788",1,"7w","E _coli","M",4,51.5,"Recovery",0,2,1,6,"E_coli",1000000000,3
"789",2,"7w","E _coli","M",4,36.9,"Recovery",0,1,0,6,"E_coli",1000000000,1
"790",3,"7w","E _coli","M",4,19.5,"Recovery",0,1,0,6,"E_coli",1000000000,1
"791",4,"7w","E _coli","M",4,24.5,"Recovery",0,1,0,6,"E_coli",1000000000,1
"792",5,"7w","E _coli","M",4,24.7,"Recovery",0,2,1,6,"E_coli",1000000000,3
"793",6,"7w","E _coli","M",4,28.6,"Recovery",0,2,1,6,"E_coli",1000000000,3
"794",1,"8w","PBS","M",0,10.8,"Baseline",NA,NA,NA,7,"PBS",0,NA
"795",2,"8w","PBS","M",0,8.7,"Baseline",NA,NA,NA,7,"PBS",0,NA
"796",3,"8w","PBS","M",0,10.3,"Baseline",NA,NA,NA,7,"PBS",0,NA
"797",4,"8w","PBS","M",0,7.7,"Baseline",NA,NA,NA,7,"PBS",0,NA
"798",5,"8w","PBS","M",0,8.8,"Baseline",NA,NA,NA,7,"PBS",0,NA
"799",1,"8w","Lacto","M",0,9.2,"Baseline",NA,NA,NA,7,"L_reuteri",100000000,NA
"800",2,"8w","Lacto","M",0,8.9,"Baseline",NA,NA,NA,7,"L_reuteri",100000000,NA
"801",3,"8w","Lacto","M",0,11.5,"Baseline",NA,NA,NA,7,"L_reuteri",100000000,NA
"802",4,"8w","Lacto","M",0,7.9,"Baseline",NA,NA,NA,7,"L_reuteri",100000000,NA
"803",5,"8w","Lacto","M",0,7.6,"Baseline",NA,NA,NA,7,"L_reuteri",100000000,NA
"804",1,"8w","S xylo","M",0,8.7,"Baseline",NA,NA,NA,7,"S_xylosus",1000000000,NA
"805",2,"8w","S xylo","M",0,4.8,"Baseline",NA,NA,NA,7,"S_xylosus",1000000000,NA
"806",3,"8w","S xylo","M",0,7.9,"Baseline",NA,NA,NA,7,"S_xylosus",1000000000,NA
"807",4,"8w","S xylo","M",0,9.5,"Baseline",NA,NA,NA,7,"S_xylosus",1000000000,NA
"808",5,"8w","S xylo","M",0,8.1,"Baseline",NA,NA,NA,7,"S_xylosus",1000000000,NA
"809",1,"8w","S epi 44","M",0,10.1,"Baseline",NA,NA,NA,7,"Sepi44",1000000000,NA
"810",2,"8w","S epi 44","M",0,8.7,"Baseline",NA,NA,NA,7,"Sepi44",1000000000,NA
"811",3,"8w","S epi 44","M",0,5.5,"Baseline",NA,NA,NA,7,"Sepi44",1000000000,NA
"812",4,"8w","S epi 44","M",0,10.4,"Baseline",NA,NA,NA,7,"Sepi44",1000000000,NA
"813",5,"8w","S epi 44","M",0,7.8,"Baseline",NA,NA,NA,7,"Sepi44",1000000000,NA
"814",1,"8w","PBS","M",0,79.8,"Tapestrip",NA,NA,NA,7,"PBS",0,NA
"815",2,"8w","PBS","M",0,76.8,"Tapestrip",NA,NA,NA,7,"PBS",0,NA
"816",3,"8w","PBS","M",0,85.8,"Tapestrip",NA,NA,NA,7,"PBS",0,NA
"817",4,"8w","PBS","M",0,77.4,"Tapestrip",NA,NA,NA,7,"PBS",0,NA
"818",5,"8w","PBS","M",0,73.8,"Tapestrip",NA,NA,NA,7,"PBS",0,NA
"819",1,"8w","Lacto","M",0,75.9,"Tapestrip",NA,NA,NA,7,"L_reuteri",100000000,NA
"820",2,"8w","Lacto","M",0,76,"Tapestrip",NA,NA,NA,7,"L_reuteri",100000000,NA
"821",3,"8w","Lacto","M",0,76,"Tapestrip",NA,NA,NA,7,"L_reuteri",100000000,NA
"822",4,"8w","Lacto","M",0,77.1,"Tapestrip",NA,NA,NA,7,"L_reuteri",100000000,NA
"823",5,"8w","Lacto","M",0,84.1,"Tapestrip",NA,NA,NA,7,"L_reuteri",100000000,NA
"824",1,"8w","S xylo","M",0,74.1,"Tapestrip",NA,NA,NA,7,"S_xylosus",1000000000,NA
"825",2,"8w","S xylo","M",0,69.1,"Tapestrip",NA,NA,NA,7,"S_xylosus",1000000000,NA
"826",3,"8w","S xylo","M",0,81.3,"Tapestrip",NA,NA,NA,7,"S_xylosus",1000000000,NA
"827",4,"8w","S xylo","M",0,65.8,"Tapestrip",NA,NA,NA,7,"S_xylosus",1000000000,NA
"828",5,"8w","S xylo","M",0,81.3,"Tapestrip",NA,NA,NA,7,"S_xylosus",1000000000,NA
"829",1,"8w","S epi 44","M",0,77.5,"Tapestrip",NA,NA,NA,7,"Sepi44",1000000000,NA
"830",2,"8w","S epi 44","M",0,81.1,"Tapestrip",NA,NA,NA,7,"Sepi44",1000000000,NA
"831",3,"8w","S epi 44","M",0,71.2,"Tapestrip",NA,NA,NA,7,"Sepi44",1000000000,NA
"832",4,"8w","S epi 44","M",0,85,"Tapestrip",NA,NA,NA,7,"Sepi44",1000000000,NA
"833",5,"8w","S epi 44","M",0,82.3,"Tapestrip",NA,NA,NA,7,"Sepi44",1000000000,NA
"834",1,"8w","PBS","M",1,66.1,"Recovery",NA,NA,NA,7,"PBS",0,NA
"835",2,"8w","PBS","M",1,66.5,"Recovery",NA,NA,NA,7,"PBS",0,NA
"836",3,"8w","PBS","M",1,70.7,"Recovery",NA,NA,NA,7,"PBS",0,NA
"837",4,"8w","PBS","M",1,71.1,"Recovery",NA,NA,NA,7,"PBS",0,NA
"838",5,"8w","PBS","M",1,74,"Recovery",NA,NA,NA,7,"PBS",0,NA
"839",1,"8w","Lacto","M",1,63,"Recovery",NA,NA,NA,7,"L_reuteri",100000000,NA
"840",2,"8w","Lacto","M",1,72.7,"Recovery",NA,NA,NA,7,"L_reuteri",100000000,NA
"841",3,"8w","Lacto","M",1,31.3,"Recovery",NA,NA,NA,7,"L_reuteri",100000000,NA
"842",4,"8w","Lacto","M",1,66.3,"Recovery",NA,NA,NA,7,"L_reuteri",100000000,NA
"843",5,"8w","Lacto","M",1,79.5,"Recovery",NA,NA,NA,7,"L_reuteri",100000000,NA
"844",1,"8w","S xylo","M",1,61.7,"Recovery",NA,NA,NA,7,"S_xylosus",1000000000,NA
"845",2,"8w","S xylo","M",1,62.5,"Recovery",NA,NA,NA,7,"S_xylosus",1000000000,NA
"846",3,"8w","S xylo","M",1,81,"Recovery",NA,NA,NA,7,"S_xylosus",1000000000,NA
"847",4,"8w","S xylo","M",1,19.7,"Recovery",NA,NA,NA,7,"S_xylosus",1000000000,NA
"848",5,"8w","S xylo","M",1,79.7,"Recovery",NA,NA,NA,7,"S_xylosus",1000000000,NA
"849",1,"8w","S epi 44","M",1,79.2,"Recovery",NA,NA,NA,7,"Sepi44",1000000000,NA
"850",2,"8w","S epi 44","M",1,68.1,"Recovery",NA,NA,NA,7,"Sepi44",1000000000,NA
"851",3,"8w","S epi 44","M",1,39.3,"Recovery",NA,NA,NA,7,"Sepi44",1000000000,NA
"852",4,"8w","S epi 44","M",1,75.5,"Recovery",NA,NA,NA,7,"Sepi44",1000000000,NA
"853",5,"8w","S epi 44","M",1,78,"Recovery",NA,NA,NA,7,"Sepi44",1000000000,NA
"854",1,"8w","PBS","M",2,56.7,"Recovery",1,2,0,7,"PBS",0,3
"855",2,"8w","PBS","M",2,53,"Recovery",0,2,0,7,"PBS",0,2
"856",3,"8w","PBS","M",2,55.1,"Recovery",0,2,0,7,"PBS",0,2
"857",4,"8w","PBS","M",2,58.4,"Recovery",0,2,0,7,"PBS",0,2
"858",5,"8w","PBS","M",2,29,"Recovery",0,2,0,7,"PBS",0,2
"859",1,"8w","Lacto","M",2,62.1,"Recovery",0,2,0,7,"L_reuteri",100000000,2
"860",2,"8w","Lacto","M",2,58.7,"Recovery",0,2,0,7,"L_reuteri",100000000,2
"861",3,"8w","Lacto","M",2,26.8,"Recovery",0,2,0,7,"L_reuteri",100000000,2
"862",4,"8w","Lacto","M",2,54.3,"Recovery",0,2,1,7,"L_reuteri",100000000,3
"863",5,"8w","Lacto","M",2,57.4,"Recovery",0,3,0,7,"L_reuteri",100000000,3
"864",1,"8w","S xylo","M",2,55.8,"Recovery",0,2,0,7,"S_xylosus",1000000000,2
"865",2,"8w","S xylo","M",2,58.8,"Recovery",0,3,0,7,"S_xylosus",1000000000,3
"866",3,"8w","S xylo","M",2,68.6,"Recovery",0,3,0,7,"S_xylosus",1000000000,3
"867",4,"8w","S xylo","M",2,14.9,"Recovery",0,1,0,7,"S_xylosus",1000000000,1
"868",5,"8w","S xylo","M",2,67.6,"Recovery",1,2,0,7,"S_xylosus",1000000000,3
"869",1,"8w","S epi 44","M",2,72.7,"Recovery",0,3,0,7,"Sepi44",1000000000,3
"870",2,"8w","S epi 44","M",2,38.6,"Recovery",0,1,0,7,"Sepi44",1000000000,1
"871",3,"8w","S epi 44","M",2,45.2,"Recovery",0,1,0,7,"Sepi44",1000000000,1
"872",4,"8w","S epi 44","M",2,68.6,"Recovery",0,2,0,7,"Sepi44",1000000000,2
"873",5,"8w","S epi 44","M",2,64.8,"Recovery",0,3,0,7,"Sepi44",1000000000,3
"874",1,"8w","PBS","M",3,61.4,"Recovery",1,2,1,7,"PBS",0,4
"875",2,"8w","PBS","M",3,33.8,"Recovery",0,2,1,7,"PBS",0,3
"876",3,"8w","PBS","M",3,24.9,"Recovery",0,2,1,7,"PBS",0,3
"877",4,"8w","PBS","M",3,33.1,"Recovery",1,2,0,7,"PBS",0,3
"878",5,"8w","PBS","M",3,33.3,"Recovery",0,2,1,7,"PBS",0,3
"879",1,"8w","Lacto","M",3,58.1,"Recovery",1,1,0,7,"L_reuteri",100000000,2
"880",2,"8w","Lacto","M",3,51,"Recovery",0,2,2,7,"L_reuteri",100000000,4
"881",3,"8w","Lacto","M",3,25.7,"Recovery",1,2,0,7,"L_reuteri",100000000,3
"882",4,"8w","Lacto","M",3,25.5,"Recovery",0,3,1,7,"L_reuteri",100000000,4
"883",5,"8w","Lacto","M",3,24.4,"Recovery",0,2,2,7,"L_reuteri",100000000,4
"884",1,"8w","S xylo","M",3,51.9,"Recovery",1,2,0,7,"S_xylosus",1000000000,3
"885",2,"8w","S xylo","M",3,47.9,"Recovery",0,2,2,7,"S_xylosus",1000000000,4
"886",3,"8w","S xylo","M",3,55.3,"Recovery",0,3,2,7,"S_xylosus",1000000000,5
"887",4,"8w","S xylo","M",3,17.2,"Recovery",0,1,0,7,"S_xylosus",1000000000,1
"888",5,"8w","S xylo","M",3,67.1,"Recovery",0,2,3,7,"S_xylosus",1000000000,5
"889",1,"8w","S epi 44","M",3,61.7,"Recovery",0,2,3,7,"Sepi44",1000000000,5
"890",2,"8w","S epi 44","M",3,26.4,"Recovery",0,2,1,7,"Sepi44",1000000000,3
"891",3,"8w","S epi 44","M",3,32.4,"Recovery",0,2,0,7,"Sepi44",1000000000,2
"892",4,"8w","S epi 44","M",3,56.6,"Recovery",1,2,1,7,"Sepi44",1000000000,4
"893",5,"8w","S epi 44","M",3,61,"Recovery",0,3,2,7,"Sepi44",1000000000,5
"894",1,"8w","PBS","M",0,8.9,"Baseline",NA,NA,NA,8,"PBS",0,NA
"895",2,"8w","PBS","M",0,13.5,"Baseline",NA,NA,NA,8,"PBS",0,NA
"896",3,"8w","PBS","M",0,11,"Baseline",NA,NA,NA,8,"PBS",0,NA
"897",4,"8w","PBS","M",0,9.1,"Baseline",NA,NA,NA,8,"PBS",0,NA
"898",5,"8w","PBS","M",0,12,"Baseline",NA,NA,NA,8,"PBS",0,NA
"899",6,"8w","PBS","M",0,10.2,"Baseline",NA,NA,NA,8,"PBS",0,NA
"900",1,"8w","Sepi44","M",0,11.3,"Baseline",NA,NA,NA,8,"Sepi44",1000000000,NA
"901",2,"8w","Sepi44","M",0,9.7,"Baseline",NA,NA,NA,8,"Sepi44",1000000000,NA
"902",3,"8w","Sepi44","M",0,8.9,"Baseline",NA,NA,NA,8,"Sepi44",1000000000,NA
"903",4,"8w","Sepi44","M",0,9.3,"Baseline",NA,NA,NA,8,"Sepi44",1000000000,NA
"904",5,"8w","Sepi44","M",0,9.7,"Baseline",NA,NA,NA,8,"Sepi44",1000000000,NA
"905",6,"8w","Sepi44","M",0,5.6,"Baseline",NA,NA,NA,8,"Sepi44",1000000000,NA
"906",7,"8w","Sepi44","M",0,9.7,"Baseline",NA,NA,NA,8,"Sepi44",1000000000,NA
"907",8,"8w","Sepi44","M",0,9.1,"Baseline",NA,NA,NA,8,"Sepi44",1000000000,NA
"908",1,"8w","Lacto","M",0,9.7,"Baseline",NA,NA,NA,8,"L_reuteri",100000000,NA
"909",2,"8w","Lacto","M",0,10.9,"Baseline",NA,NA,NA,8,"L_reuteri",100000000,NA
"910",3,"8w","Lacto","M",0,10.3,"Baseline",NA,NA,NA,8,"L_reuteri",100000000,NA
"911",4,"8w","Lacto","M",0,10.2,"Baseline",NA,NA,NA,8,"L_reuteri",100000000,NA
"912",5,"8w","Lacto","M",0,9.1,"Baseline",NA,NA,NA,8,"L_reuteri",100000000,NA
"913",6,"8w","Lacto","M",0,9.3,"Baseline",NA,NA,NA,8,"L_reuteri",100000000,NA
"914",1,"8w","PBS","M",0,73,"Tapestrip",NA,NA,NA,8,"PBS",0,NA
"915",2,"8w","PBS","M",0,72.4,"Tapestrip",NA,NA,NA,8,"PBS",0,NA
"916",3,"8w","PBS","M",0,77.3,"Tapestrip",NA,NA,NA,8,"PBS",0,NA
"917",4,"8w","PBS","M",0,68.8,"Tapestrip",NA,NA,NA,8,"PBS",0,NA
"918",5,"8w","PBS","M",0,69.2,"Tapestrip",NA,NA,NA,8,"PBS",0,NA
"919",6,"8w","PBS","M",0,63.3,"Tapestrip",NA,NA,NA,8,"PBS",0,NA
"920",1,"8w","Sepi44","M",0,72.5,"Tapestrip",NA,NA,NA,8,"Sepi44",1000000000,NA
"921",2,"8w","Sepi44","M",0,67.5,"Tapestrip",NA,NA,NA,8,"Sepi44",1000000000,NA
"922",3,"8w","Sepi44","M",0,68.1,"Tapestrip",NA,NA,NA,8,"Sepi44",1000000000,NA
"923",4,"8w","Sepi44","M",0,67.6,"Tapestrip",NA,NA,NA,8,"Sepi44",1000000000,NA
"924",5,"8w","Sepi44","M",0,69.4,"Tapestrip",NA,NA,NA,8,"Sepi44",1000000000,NA
"925",6,"8w","Sepi44","M",0,59.8,"Tapestrip",NA,NA,NA,8,"Sepi44",1000000000,NA
"926",7,"8w","Sepi44","M",0,66.4,"Tapestrip",NA,NA,NA,8,"Sepi44",1000000000,NA
"927",8,"8w","Sepi44","M",0,58.4,"Tapestrip",NA,NA,NA,8,"Sepi44",1000000000,NA
"928",1,"8w","Lacto","M",0,69.7,"Tapestrip",NA,NA,NA,8,"L_reuteri",100000000,NA
"929",2,"8w","Lacto","M",0,76.1,"Tapestrip",NA,NA,NA,8,"L_reuteri",100000000,NA
"930",3,"8w","Lacto","M",0,69.4,"Tapestrip",NA,NA,NA,8,"L_reuteri",100000000,NA
"931",4,"8w","Lacto","M",0,77.2,"Tapestrip",NA,NA,NA,8,"L_reuteri",100000000,NA
"932",5,"8w","Lacto","M",0,69.4,"Tapestrip",NA,NA,NA,8,"L_reuteri",100000000,NA
"933",6,"8w","Lacto","M",0,68,"Tapestrip",NA,NA,NA,8,"L_reuteri",100000000,NA
"934",1,"8w","PBS","M",1,65.5,"Recovery",NA,NA,NA,8,"PBS",0,NA
"935",2,"8w","PBS","M",1,33.3,"Recovery",NA,NA,NA,8,"PBS",0,NA
"936",3,"8w","PBS","M",1,68.5,"Recovery",NA,NA,NA,8,"PBS",0,NA
"937",4,"8w","PBS","M",1,60,"Recovery",NA,NA,NA,8,"PBS",0,NA
"938",5,"8w","PBS","M",1,69.5,"Recovery",NA,NA,NA,8,"PBS",0,NA
"939",6,"8w","PBS","M",1,76.6,"Recovery",NA,NA,NA,8,"PBS",0,NA
"940",1,"8w","Sepi44","M",1,68.2,"Recovery",NA,NA,NA,8,"Sepi44",1000000000,NA
"941",2,"8w","Sepi44","M",1,72.4,"Recovery",NA,NA,NA,8,"Sepi44",1000000000,NA
"942",3,"8w","Sepi44","M",1,71.8,"Recovery",NA,NA,NA,8,"Sepi44",1000000000,NA
"943",4,"8w","Sepi44","M",1,71.8,"Recovery",NA,NA,NA,8,"Sepi44",1000000000,NA
"944",5,"8w","Sepi44","M",1,78.5,"Recovery",NA,NA,NA,8,"Sepi44",1000000000,NA
"945",6,"8w","Sepi44","M",1,50.3,"Recovery",NA,NA,NA,8,"Sepi44",1000000000,NA
"946",7,"8w","Sepi44","M",1,76,"Recovery",NA,NA,NA,8,"Sepi44",1000000000,NA
"947",8,"8w","Sepi44","M",1,46.6,"Recovery",NA,NA,NA,8,"Sepi44",1000000000,NA
"948",1,"8w","Lacto","M",1,76.1,"Recovery",NA,NA,NA,8,"L_reuteri",100000000,NA
"949",2,"8w","Lacto","M",1,80.1,"Recovery",NA,NA,NA,8,"L_reuteri",100000000,NA
"950",3,"8w","Lacto","M",1,70.6,"Recovery",NA,NA,NA,8,"L_reuteri",100000000,NA
"951",4,"8w","Lacto","M",1,78.1,"Recovery",NA,NA,NA,8,"L_reuteri",100000000,NA
"952",5,"8w","Lacto","M",1,52.9,"Recovery",NA,NA,NA,8,"L_reuteri",100000000,NA
"953",6,"8w","Lacto","M",1,59.1,"Recovery",NA,NA,NA,8,"L_reuteri",100000000,NA
"954",1,"8w","PBS","M",2,42.3,"Recovery",1,1,0,8,"PBS",0,2
"955",2,"8w","PBS","M",2,54.8,"Recovery",0,2,0,8,"PBS",0,2
"956",3,"8w","PBS","M",2,58.9,"Recovery",0,2,0,8,"PBS",0,2
"957",4,"8w","PBS","M",2,53.6,"Recovery",0,2,0,8,"PBS",0,2
"958",5,"8w","PBS","M",2,56.2,"Recovery",1,2,0,8,"PBS",0,3
"959",6,"8w","PBS","M",2,47.9,"Recovery",1,2,0,8,"PBS",0,3
"960",1,"8w","Sepi44","M",2,41.4,"Recovery",0,2,0,8,"Sepi44",1000000000,2
"961",2,"8w","Sepi44","M",2,61,"Recovery",0,2,0,8,"Sepi44",1000000000,2
"962",3,"8w","Sepi44","M",2,50.5,"Recovery",1,2,0,8,"Sepi44",1000000000,3
"963",4,"8w","Sepi44","M",2,53.2,"Recovery",0,2,0,8,"Sepi44",1000000000,2
"964",5,"8w","Sepi44","M",2,59.2,"Recovery",0,2,0,8,"Sepi44",1000000000,2
"965",6,"8w","Sepi44","M",2,24.9,"Recovery",0,1,0,8,"Sepi44",1000000000,1
"966",7,"8w","Sepi44","M",2,53.8,"Recovery",1,2,0,8,"Sepi44",1000000000,3
"967",8,"8w","Sepi44","M",2,34.4,"Recovery",0,2,0,8,"Sepi44",1000000000,2
"968",1,"8w","Lacto","M",2,50.7,"Recovery",0,1,0,8,"L_reuteri",100000000,1
"969",2,"8w","Lacto","M",2,49.6,"Recovery",0,1,0,8,"L_reuteri",100000000,1
"970",3,"8w","Lacto","M",2,16.6,"Recovery",0,1,0,8,"L_reuteri",100000000,1
"971",4,"8w","Lacto","M",2,58,"Recovery",0,2,0,8,"L_reuteri",100000000,2
"972",5,"8w","Lacto","M",2,47.2,"Recovery",1,1,0,8,"L_reuteri",100000000,2
"973",6,"8w","Lacto","M",2,41.7,"Recovery",0,1,0,8,"L_reuteri",100000000,1
"974",1,"8w","PBS","M",3,43,"Recovery",0,1,1,8,"PBS",0,2
"975",2,"8w","PBS","M",3,13.5,"Recovery",0,1,1,8,"PBS",0,2
"976",3,"8w","PBS","M",3,49.6,"Recovery",0,2,2,8,"PBS",0,4
"977",4,"8w","PBS","M",3,59.1,"Recovery",0,2,2,8,"PBS",0,4
"978",5,"8w","PBS","M",3,57.1,"Recovery",0,2,1,8,"PBS",0,3
"979",6,"8w","PBS","M",3,50.6,"Recovery",1,1,1,8,"PBS",0,3
"980",1,"8w","Sepi44","M",3,41.4,"Recovery",0,2,1,8,"Sepi44",1000000000,3
"981",2,"8w","Sepi44","M",3,55.4,"Recovery",0,3,2,8,"Sepi44",1000000000,5
"982",3,"8w","Sepi44","M",3,41,"Recovery",0,2,2,8,"Sepi44",1000000000,4
"983",4,"8w","Sepi44","M",3,49,"Recovery",0,2,2,8,"Sepi44",1000000000,4
"984",5,"8w","Sepi44","M",3,60.7,"Recovery",0,3,2,8,"Sepi44",1000000000,5
"985",6,"8w","Sepi44","M",3,31.6,"Recovery",0,1,1,8,"Sepi44",1000000000,2
"986",7,"8w","Sepi44","M",3,60.5,"Recovery",0,3,2,8,"Sepi44",1000000000,5
"987",8,"8w","Sepi44","M",3,59.4,"Recovery",1,2,2,8,"Sepi44",1000000000,5
"988",1,"8w","Lacto","M",3,52.5,"Recovery",0,2,1,8,"L_reuteri",100000000,3
"989",2,"8w","Lacto","M",3,46.2,"Recovery",0,1,1,8,"L_reuteri",100000000,2
"990",3,"8w","Lacto","M",3,11.9,"Recovery",0,1,1,8,"L_reuteri",100000000,2
"991",4,"8w","Lacto","M",3,61.6,"Recovery",0,2,1,8,"L_reuteri",100000000,3
"992",5,"8w","Lacto","M",3,19.7,"Recovery",0,1,0,8,"L_reuteri",100000000,1
"993",6,"8w","Lacto","M",3,28.4,"Recovery",0,1,0,8,"L_reuteri",100000000,1
"994",1,"8w","PBS","M",4,36,"Recovery",0,1,1,8,"PBS",0,2
"995",2,"8w","PBS","M",4,23.9,"Recovery",0,1,1,8,"PBS",0,2
"996",3,"8w","PBS","M",4,49.1,"Recovery",0,2,1,8,"PBS",0,3
"997",4,"8w","PBS","M",4,43.2,"Recovery",1,2,1,8,"PBS",0,4
"998",5,"8w","PBS","M",4,37.6,"Recovery",0,3,0,8,"PBS",0,3
"999",6,"8w","PBS","M",4,32.6,"Recovery",0,1,1,8,"PBS",0,2
"1000",1,"8w","Sepi44","M",4,22.3,"Recovery",0,1,1,8,"Sepi44",1000000000,2
"1001",2,"8w","Sepi44","M",4,47.3,"Recovery",0,3,2,8,"Sepi44",1000000000,5
"1002",3,"8w","Sepi44","M",4,29.7,"Recovery",0,3,2,8,"Sepi44",1000000000,5
"1003",4,"8w","Sepi44","M",4,29.8,"Recovery",0,2,1,8,"Sepi44",1000000000,3
"1004",5,"8w","Sepi44","M",4,30,"Recovery",0,3,2,8,"Sepi44",1000000000,5
"1005",6,"8w","Sepi44","M",4,18.3,"Recovery",0,1,0,8,"Sepi44",1000000000,1
"1006",7,"8w","Sepi44","M",4,27.4,"Recovery",0,3,2,8,"Sepi44",1000000000,5
"1007",8,"8w","Sepi44","M",4,26.7,"Recovery",0,2,1,8,"Sepi44",1000000000,3
"1008",1,"8w","Lacto","M",4,27.8,"Recovery",0,1,1,8,"L_reuteri",100000000,2
"1009",2,"8w","Lacto","M",4,32.3,"Recovery",0,1,1,8,"L_reuteri",100000000,2
