"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"578","d4","GO:0051607","defense response to virus","34/314","325/23006",2.77463632444249e-20,4.0408794470517e-18,1.99756114330676e-18,"ENSMUSG00000027639/ENSMUSG00000042682/ENSMUSG00000009585/ENSMUSG00000052688/ENSMUSG00000028466/ENSMUSG00000022971/ENSMUSG00000022969/ENSMUSG00000050732/ENSMUSG00000016534/ENSMUSG00000004393/ENSMUSG00000024404/ENSMUSG00000021709/ENSMUSG00000021270/ENSMUSG00000029169/ENSMUSG00000035692/ENSMUSG00000015656/ENSMUSG00000023992/ENSMUSG00000020641/ENSMUSG00000013236/ENSMUSG00000026289/ENSMUSG00000020108/ENSMUSG00000029780/ENSMUSG00000032369/ENSMUSG00000060591/ENSMUSG00000028268/ENSMUSG00000039899/ENSMUSG00000046718/ENSMUSG00000039456/ENSMUSG00000017707/ENSMUSG00000033107/ENSMUSG00000052917/ENSMUSG00000027843/ENSMUSG00000024422/ENSMUSG00000025041",34
"579","d4","GO:0140546","defense response to symbiont","34/314","326/23006",3.06069404771727e-20,4.32638105686154e-18,2.13869550021606e-18,"ENSMUSG00000027639/ENSMUSG00000042682/ENSMUSG00000009585/ENSMUSG00000052688/ENSMUSG00000028466/ENSMUSG00000022971/ENSMUSG00000022969/ENSMUSG00000050732/ENSMUSG00000016534/ENSMUSG00000004393/ENSMUSG00000024404/ENSMUSG00000021709/ENSMUSG00000021270/ENSMUSG00000029169/ENSMUSG00000035692/ENSMUSG00000015656/ENSMUSG00000023992/ENSMUSG00000020641/ENSMUSG00000013236/ENSMUSG00000026289/ENSMUSG00000020108/ENSMUSG00000029780/ENSMUSG00000032369/ENSMUSG00000060591/ENSMUSG00000028268/ENSMUSG00000039899/ENSMUSG00000046718/ENSMUSG00000039456/ENSMUSG00000017707/ENSMUSG00000033107/ENSMUSG00000052917/ENSMUSG00000027843/ENSMUSG00000024422/ENSMUSG00000025041",34
"580","d4","GO:0002696","positive regulation of leukocyte activation","38/314","427/23006",4.27500414625512e-20,5.87019140768631e-18,2.90185995732264e-18,"ENSMUSG00000030805/ENSMUSG00000042682/ENSMUSG00000030744/ENSMUSG00000061232/ENSMUSG00000000902/ENSMUSG00000073411/ENSMUSG00000024621/ENSMUSG00000033467/ENSMUSG00000030748/ENSMUSG00000115338/ENSMUSG00000050732/ENSMUSG00000027962/ENSMUSG00000067212/ENSMUSG00000021270/ENSMUSG00000032011/ENSMUSG00000023992/ENSMUSG00000043505/ENSMUSG00000016024/ENSMUSG00000037706/ENSMUSG00000020484/ENSMUSG00000029580/ENSMUSG00000055447/ENSMUSG00000037935/ENSMUSG00000000957/ENSMUSG00000047139/ENSMUSG00000036594/ENSMUSG00000028874/ENSMUSG00000028191/ENSMUSG00000030560/ENSMUSG00000007815/ENSMUSG00000049103/ENSMUSG00000035929/ENSMUSG00000001741/ENSMUSG00000068220/ENSMUSG00000022488/ENSMUSG00000060802/ENSMUSG00000027843/ENSMUSG00000020101",38
"581","d4","GO:0045089","positive regulation of innate immune response","36/314","382/23006",6.65122713271828e-20,8.87938822217891e-18,4.38942094694303e-18,"ENSMUSG00000061232/ENSMUSG00000052688/ENSMUSG00000040952/ENSMUSG00000073411/ENSMUSG00000016534/ENSMUSG00000024404/ENSMUSG00000021709/ENSMUSG00000067212/ENSMUSG00000021270/ENSMUSG00000015656/ENSMUSG00000006519/ENSMUSG00000001751/ENSMUSG00000023992/ENSMUSG00000036103/ENSMUSG00000020641/ENSMUSG00000013236/ENSMUSG00000027997/ENSMUSG00000043505/ENSMUSG00000016024/ENSMUSG00000034116/ENSMUSG00000055204/ENSMUSG00000024927/ENSMUSG00000028191/ENSMUSG00000010358/ENSMUSG00000041560/ENSMUSG00000032369/ENSMUSG00000037966/ENSMUSG00000028268/ENSMUSG00000035929/ENSMUSG00000032577/ENSMUSG00000042419/ENSMUSG00000033107/ENSMUSG00000020124/ENSMUSG00000021025/ENSMUSG00000051314/ENSMUSG00000027843",36
"582","d4","GO:2001233","regulation of apoptotic signaling pathway","38/314","437/23006",9.51721383714229e-20,1.2362089108461e-17,6.11105309542821e-18,"ENSMUSG00000030805/ENSMUSG00000030744/ENSMUSG00000005161/ENSMUSG00000003873/ENSMUSG00000021486/ENSMUSG00000056071/ENSMUSG00000056054/ENSMUSG00000028466/ENSMUSG00000028964/ENSMUSG00000004951/ENSMUSG00000021477/ENSMUSG00000037613/ENSMUSG00000060803/ENSMUSG00000050335/ENSMUSG00000023992/ENSMUSG00000022982/ENSMUSG00000061353/ENSMUSG00000028111/ENSMUSG00000071866/ENSMUSG00000021109/ENSMUSG00000020484/ENSMUSG00000063856/ENSMUSG00000032359/ENSMUSG00000024927/ENSMUSG00000005413/ENSMUSG00000006932/ENSMUSG00000023010/ENSMUSG00000028191/ENSMUSG00000030560/ENSMUSG00000032369/ENSMUSG00000049086/ENSMUSG00000059552/ENSMUSG00000017707/ENSMUSG00000020124/ENSMUSG00000030717/ENSMUSG00000039239/ENSMUSG00000041324/ENSMUSG00000031221",38
"583","d4","GO:0071674","mononuclear cell migration","27/314","194/23006",1.52430528661385e-19,1.91422555025815e-17,9.46274846558611e-18,"ENSMUSG00000022548/ENSMUSG00000042682/ENSMUSG00000020437/ENSMUSG00000040952/ENSMUSG00000028466/ENSMUSG00000009281/ENSMUSG00000064210/ENSMUSG00000024621/ENSMUSG00000003814/ENSMUSG00000006699/ENSMUSG00000021190/ENSMUSG00000025701/ENSMUSG00000050335/ENSMUSG00000061353/ENSMUSG00000055447/ENSMUSG00000054400/ENSMUSG00000015766/ENSMUSG00000024190/ENSMUSG00000007815/ENSMUSG00000037966/ENSMUSG00000049103/ENSMUSG00000035373/ENSMUSG00000029648/ENSMUSG00000045092/ENSMUSG00000054693/ENSMUSG00000031990/ENSMUSG00000038235",27
"584","d4","GO:0045637","regulation of myeloid cell differentiation","29/314","233/23006",1.55336655139551e-19,1.91422555025815e-17,9.46274846558611e-18,"ENSMUSG00000027613/ENSMUSG00000109324/ENSMUSG00000037486/ENSMUSG00000031446/ENSMUSG00000052688/ENSMUSG00000020857/ENSMUSG00000024621/ENSMUSG00000037601/ENSMUSG00000024529/ENSMUSG00000035692/ENSMUSG00000023992/ENSMUSG00000053158/ENSMUSG00000052684/ENSMUSG00000021109/ENSMUSG00000025223/ENSMUSG00000028991/ENSMUSG00000027204/ENSMUSG00000006932/ENSMUSG00000004040/ENSMUSG00000000134/ENSMUSG00000039461/ENSMUSG00000037966/ENSMUSG00000049086/ENSMUSG00000046402/ENSMUSG00000022488/ENSMUSG00000032035/ENSMUSG00000060802/ENSMUSG00000021025/ENSMUSG00000041324",29
"585","d4","GO:1903039","positive regulation of leukocyte cell-cell adhesion","32/314","301/23006",2.34058979175762e-19,2.81221863479678e-17,1.39018714736762e-17,"ENSMUSG00000042682/ENSMUSG00000030744/ENSMUSG00000061232/ENSMUSG00000000902/ENSMUSG00000073411/ENSMUSG00000030748/ENSMUSG00000115338/ENSMUSG00000027962/ENSMUSG00000067212/ENSMUSG00000021270/ENSMUSG00000032011/ENSMUSG00000025701/ENSMUSG00000043505/ENSMUSG00000032038/ENSMUSG00000037706/ENSMUSG00000020484/ENSMUSG00000029580/ENSMUSG00000055447/ENSMUSG00000024927/ENSMUSG00000037935/ENSMUSG00000047139/ENSMUSG00000036594/ENSMUSG00000028191/ENSMUSG00000007815/ENSMUSG00000049103/ENSMUSG00000035929/ENSMUSG00000068220/ENSMUSG00000022488/ENSMUSG00000032035/ENSMUSG00000060802/ENSMUSG00000027843/ENSMUSG00000020101",32
"586","d4","GO:0050867","positive regulation of cell activation","38/314","449/23006",2.41627884189225e-19,2.83235027174004e-17,1.40013898489109e-17,"ENSMUSG00000030805/ENSMUSG00000042682/ENSMUSG00000030744/ENSMUSG00000061232/ENSMUSG00000000902/ENSMUSG00000073411/ENSMUSG00000024621/ENSMUSG00000033467/ENSMUSG00000030748/ENSMUSG00000115338/ENSMUSG00000050732/ENSMUSG00000027962/ENSMUSG00000067212/ENSMUSG00000021270/ENSMUSG00000032011/ENSMUSG00000023992/ENSMUSG00000043505/ENSMUSG00000016024/ENSMUSG00000037706/ENSMUSG00000020484/ENSMUSG00000029580/ENSMUSG00000055447/ENSMUSG00000037935/ENSMUSG00000000957/ENSMUSG00000047139/ENSMUSG00000036594/ENSMUSG00000028874/ENSMUSG00000028191/ENSMUSG00000030560/ENSMUSG00000007815/ENSMUSG00000049103/ENSMUSG00000035929/ENSMUSG00000001741/ENSMUSG00000068220/ENSMUSG00000022488/ENSMUSG00000060802/ENSMUSG00000027843/ENSMUSG00000020101",38
"587","d4","GO:0006909","phagocytosis","29/314","238/23006",2.81611767246659e-19,3.22244322235106e-17,1.59297683878624e-17,"ENSMUSG00000001847/ENSMUSG00000030105/ENSMUSG00000052688/ENSMUSG00000020437/ENSMUSG00000064210/ENSMUSG00000039844/ENSMUSG00000040249/ENSMUSG00000003814/ENSMUSG00000006699/ENSMUSG00000025949/ENSMUSG00000026878/ENSMUSG00000006519/ENSMUSG00000037936/ENSMUSG00000023992/ENSMUSG00000036103/ENSMUSG00000022982/ENSMUSG00000024371/ENSMUSG00000016024/ENSMUSG00000034116/ENSMUSG00000055447/ENSMUSG00000028874/ENSMUSG00000032369/ENSMUSG00000003283/ENSMUSG00000004665/ENSMUSG00000049103/ENSMUSG00000001911/ENSMUSG00000022488/ENSMUSG00000025809/ENSMUSG00000026879",29
"588","d4","GO:0042098","T cell proliferation","30/314","269/23006",8.42303618581231e-19,9.41421207186371e-17,4.65380481551491e-17,"ENSMUSG00000042682/ENSMUSG00000030744/ENSMUSG00000034165/ENSMUSG00000005161/ENSMUSG00000061232/ENSMUSG00000003873/ENSMUSG00000073411/ENSMUSG00000020612/ENSMUSG00000022971/ENSMUSG00000115338/ENSMUSG00000027962/ENSMUSG00000067212/ENSMUSG00000075376/ENSMUSG00000050335/ENSMUSG00000061353/ENSMUSG00000037706/ENSMUSG00000006932/ENSMUSG00000047139/ENSMUSG00000036594/ENSMUSG00000049103/ENSMUSG00000059552/ENSMUSG00000032966/ENSMUSG00000035929/ENSMUSG00000022488/ENSMUSG00000059518/ENSMUSG00000023915/ENSMUSG00000004266/ENSMUSG00000045382/ENSMUSG00000027843/ENSMUSG00000020101",30
"589","d4","GO:0022409","positive regulation of cell-cell adhesion","33/314","352/23006",2.9712754020452e-18,3.24544308687028e-16,1.60434655081723e-16,"ENSMUSG00000042682/ENSMUSG00000030744/ENSMUSG00000061232/ENSMUSG00000000902/ENSMUSG00000073411/ENSMUSG00000030748/ENSMUSG00000115338/ENSMUSG00000027962/ENSMUSG00000067212/ENSMUSG00000021270/ENSMUSG00000032011/ENSMUSG00000025701/ENSMUSG00000043505/ENSMUSG00000032038/ENSMUSG00000037706/ENSMUSG00000020484/ENSMUSG00000029580/ENSMUSG00000055447/ENSMUSG00000024927/ENSMUSG00000037935/ENSMUSG00000047139/ENSMUSG00000036594/ENSMUSG00000028191/ENSMUSG00000007815/ENSMUSG00000049103/ENSMUSG00000035929/ENSMUSG00000068220/ENSMUSG00000022488/ENSMUSG00000032035/ENSMUSG00000060802/ENSMUSG00000027843/ENSMUSG00000038235/ENSMUSG00000020101",33
"590","d4","GO:0002699","positive regulation of immune effector process","31/314","316/23006",8.99375645291762e-18,9.60533189171601e-16,4.74828264660469e-16,"ENSMUSG00000030805/ENSMUSG00000061232/ENSMUSG00000040952/ENSMUSG00000073411/ENSMUSG00000039844/ENSMUSG00000030748/ENSMUSG00000115338/ENSMUSG00000050732/ENSMUSG00000067212/ENSMUSG00000023992/ENSMUSG00000053158/ENSMUSG00000020641/ENSMUSG00000024990/ENSMUSG00000043505/ENSMUSG00000016024/ENSMUSG00000037706/ENSMUSG00000020484/ENSMUSG00000034116/ENSMUSG00000055204/ENSMUSG00000036427/ENSMUSG00000005413/ENSMUSG00000047139/ENSMUSG00000028874/ENSMUSG00000014905/ENSMUSG00000049103/ENSMUSG00000035929/ENSMUSG00000004266/ENSMUSG00000060802/ENSMUSG00000051314/ENSMUSG00000027843/ENSMUSG00000006611",31
"591","d4","GO:0002687","positive regulation of leukocyte migration","24/314","172/23006",1.58519204868357e-17,1.65618108390722e-15,8.18713605006593e-16,"ENSMUSG00000001847/ENSMUSG00000042682/ENSMUSG00000028466/ENSMUSG00000009281/ENSMUSG00000064210/ENSMUSG00000024621/ENSMUSG00000003814/ENSMUSG00000021190/ENSMUSG00000032011/ENSMUSG00000021702/ENSMUSG00000050335/ENSMUSG00000023992/ENSMUSG00000061353/ENSMUSG00000016024/ENSMUSG00000055447/ENSMUSG00000000957/ENSMUSG00000007815/ENSMUSG00000049103/ENSMUSG00000035373/ENSMUSG00000059552/ENSMUSG00000022488/ENSMUSG00000034845/ENSMUSG00000054693/ENSMUSG00000031990",24
"592","d4","GO:0046651","lymphocyte proliferation","33/314","381/23006",3.22348543423712e-17,3.29618531849864e-15,1.62943037515637e-15,"ENSMUSG00000042682/ENSMUSG00000030744/ENSMUSG00000034165/ENSMUSG00000005161/ENSMUSG00000061232/ENSMUSG00000003873/ENSMUSG00000073411/ENSMUSG00000020612/ENSMUSG00000024621/ENSMUSG00000022971/ENSMUSG00000115338/ENSMUSG00000027962/ENSMUSG00000067212/ENSMUSG00000075376/ENSMUSG00000050335/ENSMUSG00000061353/ENSMUSG00000037706/ENSMUSG00000090231/ENSMUSG00000006932/ENSMUSG00000047139/ENSMUSG00000036594/ENSMUSG00000049103/ENSMUSG00000059552/ENSMUSG00000032966/ENSMUSG00000035929/ENSMUSG00000022488/ENSMUSG00000059518/ENSMUSG00000023915/ENSMUSG00000004266/ENSMUSG00000045382/ENSMUSG00000027843/ENSMUSG00000022505/ENSMUSG00000020101",33
"593","d4","GO:0032943","mononuclear cell proliferation","33/314","387/23006",5.13688451488358e-17,5.14330562052719e-15,2.54253253291497e-15,"ENSMUSG00000042682/ENSMUSG00000030744/ENSMUSG00000034165/ENSMUSG00000005161/ENSMUSG00000061232/ENSMUSG00000003873/ENSMUSG00000073411/ENSMUSG00000020612/ENSMUSG00000024621/ENSMUSG00000022971/ENSMUSG00000115338/ENSMUSG00000027962/ENSMUSG00000067212/ENSMUSG00000075376/ENSMUSG00000050335/ENSMUSG00000061353/ENSMUSG00000037706/ENSMUSG00000090231/ENSMUSG00000006932/ENSMUSG00000047139/ENSMUSG00000036594/ENSMUSG00000049103/ENSMUSG00000059552/ENSMUSG00000032966/ENSMUSG00000035929/ENSMUSG00000022488/ENSMUSG00000059518/ENSMUSG00000023915/ENSMUSG00000004266/ENSMUSG00000045382/ENSMUSG00000027843/ENSMUSG00000022505/ENSMUSG00000020101",33
"594","d4","GO:0007162","negative regulation of cell adhesion","30/314","315/23006",7.08115588813973e-17,6.94531330579582e-15,3.43333380011415e-15,"ENSMUSG00000022548/ENSMUSG00000005161/ENSMUSG00000020612/ENSMUSG00000030748/ENSMUSG00000022018/ENSMUSG00000004951/ENSMUSG00000040249/ENSMUSG00000075376/ENSMUSG00000028364/ENSMUSG00000060803/ENSMUSG00000050335/ENSMUSG00000061353/ENSMUSG00000031740/ENSMUSG00000043505/ENSMUSG00000022425/ENSMUSG00000000957/ENSMUSG00000047139/ENSMUSG00000036594/ENSMUSG00000024190/ENSMUSG00000007815/ENSMUSG00000039899/ENSMUSG00000068220/ENSMUSG00000022488/ENSMUSG00000023915/ENSMUSG00000004266/ENSMUSG00000027843/ENSMUSG00000054693/ENSMUSG00000006611/ENSMUSG00000031990/ENSMUSG00000020101",30
"595","d4","GO:0002832","negative regulation of response to biotic stimulus","24/314","185/23006",8.79510146679717e-17,8.45385152988544e-15,4.17906189696025e-15,"ENSMUSG00000027639/ENSMUSG00000005161/ENSMUSG00000061232/ENSMUSG00000052688/ENSMUSG00000040952/ENSMUSG00000073411/ENSMUSG00000024844/ENSMUSG00000016534/ENSMUSG00000024404/ENSMUSG00000021709/ENSMUSG00000067212/ENSMUSG00000035692/ENSMUSG00000015656/ENSMUSG00000023992/ENSMUSG00000013236/ENSMUSG00000023224/ENSMUSG00000033902/ENSMUSG00000039899/ENSMUSG00000035929/ENSMUSG00000042419/ENSMUSG00000033107/ENSMUSG00000020124/ENSMUSG00000027843/ENSMUSG00000025041",24
"596","d4","GO:0034341","response to type II interferon","22/314","148/23006",9.14499119107601e-17,8.61780934594339e-15,4.26011251150847e-15,"ENSMUSG00000030805/ENSMUSG00000074129/ENSMUSG00000020152/ENSMUSG00000001175/ENSMUSG00000052688/ENSMUSG00000050732/ENSMUSG00000006740/ENSMUSG00000006699/ENSMUSG00000057666/ENSMUSG00000037580/ENSMUSG00000026728/ENSMUSG00000055447/ENSMUSG00000062825/ENSMUSG00000036594/ENSMUSG00000060591/ENSMUSG00000028268/ENSMUSG00000035373/ENSMUSG00000059552/ENSMUSG00000046718/ENSMUSG00000019471/ENSMUSG00000026879/ENSMUSG00000032423",22
"597","d4","GO:0050870","positive regulation of T cell activation","28/314","275/23006",1.40895130655174e-16,1.30219614986301e-14,6.43725323661393e-15,"ENSMUSG00000042682/ENSMUSG00000030744/ENSMUSG00000061232/ENSMUSG00000000902/ENSMUSG00000073411/ENSMUSG00000030748/ENSMUSG00000115338/ENSMUSG00000027962/ENSMUSG00000067212/ENSMUSG00000021270/ENSMUSG00000032011/ENSMUSG00000043505/ENSMUSG00000037706/ENSMUSG00000020484/ENSMUSG00000029580/ENSMUSG00000055447/ENSMUSG00000037935/ENSMUSG00000047139/ENSMUSG00000036594/ENSMUSG00000028191/ENSMUSG00000007815/ENSMUSG00000049103/ENSMUSG00000035929/ENSMUSG00000068220/ENSMUSG00000022488/ENSMUSG00000060802/ENSMUSG00000027843/ENSMUSG00000020101",28
"598","d4","GO:0097193","intrinsic apoptotic signaling pathway","30/314","328/23006",2.15692197554076e-16,1.95588056876394e-14,9.66866514159979e-15,"ENSMUSG00000042682/ENSMUSG00000030744/ENSMUSG00000003873/ENSMUSG00000056071/ENSMUSG00000056054/ENSMUSG00000028466/ENSMUSG00000028964/ENSMUSG00000004951/ENSMUSG00000115338/ENSMUSG00000023992/ENSMUSG00000030341/ENSMUSG00000022982/ENSMUSG00000061353/ENSMUSG00000071866/ENSMUSG00000027997/ENSMUSG00000021109/ENSMUSG00000020484/ENSMUSG00000063856/ENSMUSG00000020108/ENSMUSG00000005413/ENSMUSG00000031536/ENSMUSG00000006932/ENSMUSG00000023010/ENSMUSG00000032369/ENSMUSG00000049086/ENSMUSG00000059552/ENSMUSG00000017707/ENSMUSG00000020124/ENSMUSG00000055024/ENSMUSG00000030717",30
"599","d4","GO:0002218","activation of innate immune response","28/314","280/23006",2.25424817449843e-16,2.0062808753036e-14,9.91781311860226e-15,"ENSMUSG00000052688/ENSMUSG00000016534/ENSMUSG00000024404/ENSMUSG00000021709/ENSMUSG00000021270/ENSMUSG00000015656/ENSMUSG00000006519/ENSMUSG00000001751/ENSMUSG00000023992/ENSMUSG00000036103/ENSMUSG00000020641/ENSMUSG00000013236/ENSMUSG00000027997/ENSMUSG00000016024/ENSMUSG00000055204/ENSMUSG00000024927/ENSMUSG00000028191/ENSMUSG00000010358/ENSMUSG00000041560/ENSMUSG00000037966/ENSMUSG00000028268/ENSMUSG00000032577/ENSMUSG00000042419/ENSMUSG00000033107/ENSMUSG00000020124/ENSMUSG00000021025/ENSMUSG00000051314/ENSMUSG00000027843",28
"600","d4","GO:0050920","regulation of chemotaxis","26/314","240/23006",3.93217794509571e-16,3.43600858256908e-14,1.69855035829302e-14,"ENSMUSG00000030805/ENSMUSG00000001847/ENSMUSG00000028466/ENSMUSG00000009281/ENSMUSG00000064210/ENSMUSG00000024621/ENSMUSG00000004951/ENSMUSG00000003814/ENSMUSG00000044456/ENSMUSG00000021190/ENSMUSG00000026193/ENSMUSG00000060803/ENSMUSG00000021702/ENSMUSG00000023992/ENSMUSG00000061353/ENSMUSG00000016024/ENSMUSG00000024190/ENSMUSG00000037966/ENSMUSG00000049103/ENSMUSG00000035373/ENSMUSG00000001741/ENSMUSG00000022488/ENSMUSG00000045382/ENSMUSG00000045092/ENSMUSG00000054693/ENSMUSG00000031990",26
"601","d4","GO:0002449","lymphocyte mediated immunity","33/314","416/23006",4.34391662649974e-16,3.72801130481388e-14,1.8428984635357e-14,"ENSMUSG00000030105/ENSMUSG00000061232/ENSMUSG00000002778/ENSMUSG00000020437/ENSMUSG00000073411/ENSMUSG00000033467/ENSMUSG00000030748/ENSMUSG00000115338/ENSMUSG00000090083/ENSMUSG00000006740/ENSMUSG00000067212/ENSMUSG00000023992/ENSMUSG00000020641/ENSMUSG00000023224/ENSMUSG00000024371/ENSMUSG00000043505/ENSMUSG00000037706/ENSMUSG00000034116/ENSMUSG00000032359/ENSMUSG00000047139/ENSMUSG00000028191/ENSMUSG00000030560/ENSMUSG00000049103/ENSMUSG00000039899/ENSMUSG00000035929/ENSMUSG00000022488/ENSMUSG00000004266/ENSMUSG00000060802/ENSMUSG00000071714/ENSMUSG00000028691/ENSMUSG00000006611/ENSMUSG00000022505/ENSMUSG00000020101",33
"602","d4","GO:0097530","granulocyte migration","22/314","161/23006",5.71257570239977e-16,4.76355008294242e-14,2.3548048573496e-14,"ENSMUSG00000001847/ENSMUSG00000042682/ENSMUSG00000032383/ENSMUSG00000056071/ENSMUSG00000056054/ENSMUSG00000009281/ENSMUSG00000024621/ENSMUSG00000019278/ENSMUSG00000025949/ENSMUSG00000005103/ENSMUSG00000021702/ENSMUSG00000050335/ENSMUSG00000071866/ENSMUSG00000016024/ENSMUSG00000034116/ENSMUSG00000054400/ENSMUSG00000023175/ENSMUSG00000035373/ENSMUSG00000022488/ENSMUSG00000028525/ENSMUSG00000031990/ENSMUSG00000022505",22
"603","d4","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","33/314","420/23006",5.74877038723805e-16,4.76355008294242e-14,2.3548048573496e-14,"ENSMUSG00000061232/ENSMUSG00000002778/ENSMUSG00000020437/ENSMUSG00000073411/ENSMUSG00000033467/ENSMUSG00000030748/ENSMUSG00000115338/ENSMUSG00000090083/ENSMUSG00000067212/ENSMUSG00000075376/ENSMUSG00000023992/ENSMUSG00000020641/ENSMUSG00000023224/ENSMUSG00000024371/ENSMUSG00000043505/ENSMUSG00000037706/ENSMUSG00000032359/ENSMUSG00000028991/ENSMUSG00000047139/ENSMUSG00000028191/ENSMUSG00000004040/ENSMUSG00000030560/ENSMUSG00000049103/ENSMUSG00000039899/ENSMUSG00000035929/ENSMUSG00000022488/ENSMUSG00000004266/ENSMUSG00000060802/ENSMUSG00000071714/ENSMUSG00000035413/ENSMUSG00000006611/ENSMUSG00000022505/ENSMUSG00000020101",33
"604","d4","GO:0042742","defense response to bacterium","32/314","401/23006",1.04949554052057e-15,8.54894164024043e-14,4.22606857262252e-14,"ENSMUSG00000061232/ENSMUSG00000027695/ENSMUSG00000020149/ENSMUSG00000040952/ENSMUSG00000073411/ENSMUSG00000009281/ENSMUSG00000038274/ENSMUSG00000036398/ENSMUSG00000058600/ENSMUSG00000042286/ENSMUSG00000067212/ENSMUSG00000026822/ENSMUSG00000026878/ENSMUSG00000029169/ENSMUSG00000035692/ENSMUSG00000006519/ENSMUSG00000023992/ENSMUSG00000030341/ENSMUSG00000036103/ENSMUSG00000016024/ENSMUSG00000055204/ENSMUSG00000032554/ENSMUSG00000004655/ENSMUSG00000029163/ENSMUSG00000028874/ENSMUSG00000078945/ENSMUSG00000021876/ENSMUSG00000028268/ENSMUSG00000003283/ENSMUSG00000033902/ENSMUSG00000035929/ENSMUSG00000060802",32
"605","d4","GO:0002237","response to molecule of bacterial origin","32/314","403/23006",1.20898434271867e-15,9.68396458517656e-14,4.78715379213341e-14,"ENSMUSG00000074129/ENSMUSG00000005161/ENSMUSG00000020681/ENSMUSG00000035673/ENSMUSG00000056071/ENSMUSG00000056054/ENSMUSG00000022500/ENSMUSG00000021709/ENSMUSG00000060803/ENSMUSG00000001751/ENSMUSG00000037936/ENSMUSG00000023992/ENSMUSG00000037580/ENSMUSG00000026728/ENSMUSG00000028419/ENSMUSG00000016024/ENSMUSG00000020484/ENSMUSG00000024927/ENSMUSG00000047139/ENSMUSG00000028191/ENSMUSG00000007815/ENSMUSG00000032369/ENSMUSG00000028268/ENSMUSG00000032577/ENSMUSG00000028163/ENSMUSG00000042419/ENSMUSG00000060802/ENSMUSG00000021025/ENSMUSG00000005150/ENSMUSG00000027843/ENSMUSG00000028525/ENSMUSG00000026321",32
"606","d4","GO:0002274","myeloid leukocyte activation","27/314","276/23006",1.36940743797593e-15,1.07891346670694e-13,5.33348160053784e-14,"ENSMUSG00000030805/ENSMUSG00000035673/ENSMUSG00000024621/ENSMUSG00000033467/ENSMUSG00000030748/ENSMUSG00000050732/ENSMUSG00000026193/ENSMUSG00000001751/ENSMUSG00000023992/ENSMUSG00000053158/ENSMUSG00000052684/ENSMUSG00000043505/ENSMUSG00000016024/ENSMUSG00000005125/ENSMUSG00000015355/ENSMUSG00000005413/ENSMUSG00000028874/ENSMUSG00000028191/ENSMUSG00000010358/ENSMUSG00000030560/ENSMUSG00000032369/ENSMUSG00000026971/ENSMUSG00000049103/ENSMUSG00000001741/ENSMUSG00000004266/ENSMUSG00000056492/ENSMUSG00000054693",27
"607","d4","GO:1990266","neutrophil migration","20/314","132/23006",1.61194601395249e-15,1.24951815210576e-13,6.17684576144445e-14,"ENSMUSG00000001847/ENSMUSG00000042682/ENSMUSG00000032383/ENSMUSG00000056071/ENSMUSG00000056054/ENSMUSG00000019278/ENSMUSG00000025949/ENSMUSG00000005103/ENSMUSG00000021702/ENSMUSG00000050335/ENSMUSG00000071866/ENSMUSG00000016024/ENSMUSG00000034116/ENSMUSG00000054400/ENSMUSG00000023175/ENSMUSG00000035373/ENSMUSG00000022488/ENSMUSG00000028525/ENSMUSG00000031990/ENSMUSG00000022505",20
"608","d4","GO:0002221","pattern recognition receptor signaling pathway","25/314","232/23006",1.67711830787436e-15,1.27940168057844e-13,6.32457146344601e-14,"ENSMUSG00000052688/ENSMUSG00000016534/ENSMUSG00000024404/ENSMUSG00000021709/ENSMUSG00000015656/ENSMUSG00000006519/ENSMUSG00000001751/ENSMUSG00000023992/ENSMUSG00000036103/ENSMUSG00000020641/ENSMUSG00000013236/ENSMUSG00000016024/ENSMUSG00000055204/ENSMUSG00000024927/ENSMUSG00000028191/ENSMUSG00000010358/ENSMUSG00000041560/ENSMUSG00000037966/ENSMUSG00000032577/ENSMUSG00000042419/ENSMUSG00000033107/ENSMUSG00000020124/ENSMUSG00000021025/ENSMUSG00000051314/ENSMUSG00000027843",25
"609","d4","GO:0016032","viral process","29/314","328/23006",1.70994501813015e-15,1.28406183705211e-13,6.34760839789431e-14,"ENSMUSG00000032383/ENSMUSG00000030105/ENSMUSG00000009585/ENSMUSG00000000902/ENSMUSG00000020149/ENSMUSG00000028466/ENSMUSG00000024621/ENSMUSG00000024844/ENSMUSG00000050732/ENSMUSG00000004393/ENSMUSG00000025949/ENSMUSG00000035692/ENSMUSG00000015656/ENSMUSG00000020641/ENSMUSG00000071866/ENSMUSG00000052684/ENSMUSG00000026289/ENSMUSG00000028419/ENSMUSG00000023175/ENSMUSG00000032369/ENSMUSG00000060591/ENSMUSG00000028268/ENSMUSG00000059552/ENSMUSG00000046718/ENSMUSG00000068220/ENSMUSG00000017485/ENSMUSG00000045382/ENSMUSG00000055024/ENSMUSG00000026879",29
